Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-01,2012,1,1,,,M,,M,,M,,M,,M,,M,,M,2,,,,22,,50,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-02,2012,1,2,,,M,,M,,M,,M,,M,,M,,M,0,,,,25,,59,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-03,2012,1,3,,,M,,M,,M,,M,,M,,M,,M,0,,,,29,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-04,2012,1,4,,,M,,M,,M,,M,,M,,M,,M,0.4,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-05,2012,1,5,,,M,,M,,M,,M,,M,,M,,M,0.4,,,,27,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-06,2012,1,6,,,M,,M,,M,,M,,M,,M,,M,1.4,,,,4,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-07,2012,1,7,,,M,,M,,M,,M,,M,,M,,M,1.1,,,,33,,56,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-08,2012,1,8,,,M,,M,,M,,M,,M,,M,,M,0,,,,27,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-09,2012,1,9,,,M,,M,,M,,M,,M,,M,,M,0.2,,,,23,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-10,2012,1,10,,,M,,M,,M,,M,,M,,M,,M,0.4,,,,30,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-11,2012,1,11,,,M,,M,,M,,M,,M,,M,,M,0,,,,5,,35,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-12,2012,1,12,,,M,,M,,M,,M,,M,,M,,M,10.1,,,,4,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-13,2012,1,13,,,M,,M,,M,,M,,M,,M,,M,8.1,,,,28,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-14,2012,1,14,,,M,,M,,M,,M,,M,,M,,M,0.2,,,,30,,41,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-15,2012,1,15,,,M,,M,,M,,M,,M,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-16,2012,1,16,,,M,,M,,M,,M,,M,,M,,M,0,,,,14,,32,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-17,2012,1,17,,,M,,M,,M,,M,,M,,M,,M,10.3,,,,22,,85,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-18,2012,1,18,,,M,,M,,M,,M,,M,,M,,M,0,,,,23,,91,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-19,2012,1,19,,,M,,M,,M,,M,,M,,M,,M,0,,,,17,,54,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-20,2012,1,20,,,M,,M,,M,,M,,M,,M,,M,0,,,,27,,43,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-21,2012,1,21,,,M,,M,,M,,M,,M,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-22,2012,1,22,,,M,,M,,M,,M,,M,,M,,M,0,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-23,2012,1,23,,,M,,M,,M,,M,,M,,M,,M,7.2,,,,14,,44,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-24,2012,1,24,,,M,,M,,M,,M,,M,,M,,M,0.7,,,,24,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-25,2012,1,25,,,M,,M,,M,,M,,M,,M,,M,0,,,,28,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-26,2012,1,26,,,M,,M,,M,,M,,M,,M,,M,1.2,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-27,2012,1,27,,,M,,M,,M,,M,,M,,M,,M,18.1,,,,27,,48,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-28,2012,1,28,,,M,,M,,M,,M,,M,,M,,M,0.2,,,,25,,67,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-29,2012,1,29,,,M,,M,,M,,M,,M,,M,,M,0,,,,25,,69,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-30,2012,1,30,,,M,,M,,M,,M,,M,,M,,M,0,,,,27,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-01-31,2012,1,31,,,M,,M,,M,,M,,M,,M,,M,5.8,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-01,2012,2,1,,,M,,M,,M,,M,,M,,M,,M,1,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-02,2012,2,2,,,M,,M,,M,,M,,M,,M,,M,0.2,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-03,2012,2,3,,,M,,M,,M,,M,,M,,M,,M,0.3,,,,,,<31,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-04,2012,2,4,,,M,,M,,M,,M,,M,,M,,M,1,,,,32,,33,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-05,2012,2,5,,,M,,M,,M,,M,,M,,M,,M,0.2,,,,23,,39,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-06,2012,2,6,,,M,,M,,M,,M,,M,,M,,M,0,,,,26,,50,
-73.74,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,702S006,2012-02-07,2012,2,7,,,M,,M,,M,,M,,M,,M,,M,0,,,,33,,37,
