[71] Ouest du Québec
  01_YUL   1299 KB    Montréal métropolitain - Laval
  02_WBZ    484 KB    Vaudreuil - Soulanges - Huntingdon
  03_WIZ    501 KB    Vallée du Richelieu - Saint-Hyacinthe
  04_WEW    445 KB    Lanaudière
  05_YMX    240 KB    Lachute - Saint-Jérôme
  06_WJT    193 KB    Laurentides
  07_MMY    207 KB    Parc du Mont-Tremblant - Saint-Michel-des-Saints
  08_MLR    203 KB    Mont-Laurier
  09_MDO    228 KB    Réserve faunique La Vérendrye
  10_WMJ    557 KB    Haute-Gatineau - Lièvre - Papineau
  11_YWA    276 KB    Pontiac
  12_WRC    398 KB    Témiscamingue
  13_YUY    587 KB    Abitibi
  14_WPK    540 KB    Parent - Réservoir Gouin
  15_YNM   1338 KB    Matagami
  16_YKQ    190 KB    Waskaganish

[72] Nord du Québec
  17_YGL   2240 KB    Baie James et rivière La Grande
  18_YAH              LG Quatre - Laforge et Fontanges
  19_YKL    291 KB    Schefferville
  20_YWK    152 KB    Fermont

[73] Centre du Québec
  21_YSC   1011 KB    Estrie
  22_WHV    472 KB    Beauce
  23_MLU    571 KB    Drummondville - Bois-Francs
  24_YRQ    507 KB    Mauricie
  25_YQB   1780 KB    Québec
  26_MMY    166 KB    Montmagny - L'Islet
  27_CHR    108 KB    Charlevoix
  28_WDQ    184 KB    La Tuque
  29_WPD    158 KB    Réserve faunique des Laurentides
  30_YBG    176 KB    Saguenay
  31_YRJ    619 KB    Lac-Saint-Jean
  32_YMT   9341 KB    Chibougamau

[74] Est du Québec

  33_WNH    317 KB    Kamouraska - Rivière-du-Loup - Trois-Pistoles
  34_TMA    111 KB    Témiscouata
  35_YYY    227 KB    Rimouski - Mont-Joli
  36_GCL    134 KB    Amqui - vallée de la Matapédia
  37_WSG     54 KB    Matane 
  38_WSF     66 KB    Sainte-Anne-des-Monts - Grande-Vallée
  39_PNG    196 KB    Parc national de la Gaspésie - Murdochville
  40_MJN    147 KB    Restigouche - Bonaventure
  41_WOC     75 KB    New Carlisle - Chandler
  42_YGP     43 KB    Parc national de Forillon - Gaspé - Percé
  43_MNC    674 KB    Rivière Manicouagan
  44_MGZ     78 KB    Les Escoumins - Forestville
  45_YBC     48 KB    Baie-Comeau
  46_YZV    265 KB    Sept-Îles - Port-Cartier
  47_YGV    985 KB    Minganie
  48_WBY      2 KB    Anticosti
  49_YNA    164 KB    Natashquan
  50_WDM   1502 KB    Chevery
  51_YBX    123 KB    Blanc-Sablon

[75] Extrême Nord du Québec

  52_YGW     32 KB    Kuujjuarapik
  53_YSK              Sanikiluak
  54_YMU     89 KB    Umiujaq
  55_YPH    115 KB    Inukjuak
  56_YPX      8 KB    Puvirnituq
  57_YKO     56 KB    Akulivik
  58_YIK     70 KB    Ivujivik
  59_YZG     28 KB    Salluit
  60_YKG     52 KB    Kangiqsujuaq
  61_YHA     91 KB    Quaqtaq    
  62_YAS     63 KB    Kangirsuk
  63_YLA     66 KB    Aupaluk
  64_YTQ     68 KB    Tasiujaq
  65_YVP     36 KB    Kuujjuaq
  66_YLU    210 KB    Kangiqsualujjuaq
